model_name,checkpoint,evaluation_group,form_type,language_pair,auc_roc,triplet_accuracy,valid_pairs
BertAll_Exp1_Baseline (ep10),55500,Cross-Branches,Heterograph,Bohairic-Demotic,0.5648087912087912,0.5846153846153846,455
BertAll_Exp1_Baseline (ep10),55500,Cross-Branches,Heterograph,Bohairic-Hieroglyphic,0.5601755703828083,0.5573770491803278,366
BertAll_Exp1_Baseline (ep10),55500,Cross-Branches,Heterograph,Demotic-Sahidic,0.55340154248886,0.5530216647662486,877
BertAll_Exp1_Baseline (ep10),55500,Cross-Branches,Heterograph,Hieroglyphic-Sahidic,0.5338904694167853,0.5594594594594594,740
BertAll_Exp1_Baseline (ep10),55500,Within-Branches,Heterograph,Bohairic-Sahidic,0.7174518845228548,0.7298850574712644,348
BertAll_Exp1_Baseline (ep10),55500,Within-Branches,Heterograph,Demotic-Hieroglyphic,0.5675493370336109,0.5434782608695652,368
BertAll_Exp1_Baseline (ep10),55500,Within-Branches,Homograph,Bohairic-Sahidic,0.999777243161365,1.0,129
BertAll_Exp1_Baseline (ep10),55500,Within-Branches,Homograph,Demotic-Hieroglyphic,0.990248039007844,0.9887640449438202,267
BertAll_Exp1_Baseline (ep10),55500,E2EN-Alignment,Seen,Hieroglyphic-English,0.6145411047889424,0.6091015169194866,6856
BertAll_Exp1_Baseline (ep10),55500,E2EN-Alignment,Unseen,Hieroglyphic-English,0.5994791289345678,0.5854893138357705,1778
BertAll_Exp1_Baseline (ep10),55500,E2EN-Alignment,Seen,Demotic-English,0.5705699195026697,0.5744096650192202,1821
BertAll_Exp1_Baseline (ep10),55500,E2EN-Alignment,Unseen,Demotic-English,0.5555003855630161,0.5615866388308977,479
BertAll_Exp1_Baseline (ep10),55500,E2EN-Alignment,Seen,Sahidic-English,0.5633610322279508,0.5580923389142567,1971
BertAll_Exp1_Baseline (ep10),55500,E2EN-Alignment,Unseen,Sahidic-English,0.48977493310949055,0.4884318766066838,389
BertAll_Exp1_Baseline (ep10),55500,E2EN-Alignment,Seen,Bohairic-English,0.5292852207573728,0.5350877192982456,1596
BertAll_Exp1_Baseline (ep10),55500,E2EN-Alignment,Unseen,Bohairic-English,0.5468002099259568,0.5546218487394958,357
BertAll_Exp_MLM_TLM (ep10),55500,Cross-Branches,Heterograph,Bohairic-Demotic,0.5702813186813187,0.5604395604395604,455
BertAll_Exp_MLM_TLM (ep10),55500,Cross-Branches,Heterograph,Bohairic-Hieroglyphic,0.5684606660480462,0.5846994535519126,366
BertAll_Exp_MLM_TLM (ep10),55500,Cross-Branches,Heterograph,Demotic-Sahidic,0.5598952896397771,0.540478905359179,877
BertAll_Exp_MLM_TLM (ep10),55500,Cross-Branches,Heterograph,Hieroglyphic-Sahidic,0.538333102036568,0.527027027027027,740
BertAll_Exp_MLM_TLM (ep10),55500,Within-Branches,Heterograph,Bohairic-Sahidic,0.722584202085004,0.7212643678160919,348
BertAll_Exp_MLM_TLM (ep10),55500,Within-Branches,Heterograph,Demotic-Hieroglyphic,0.5704722993113372,0.5489130434782609,368
BertAll_Exp_MLM_TLM (ep10),55500,Within-Branches,Homograph,Bohairic-Sahidic,0.9974160206718345,1.0,129
BertAll_Exp_MLM_TLM (ep10),55500,Within-Branches,Homograph,Demotic-Hieroglyphic,0.987315384071797,0.9812734082397003,267
BertAll_Exp_MLM_TLM (ep10),55500,E2EN-Alignment,Seen,Hieroglyphic-English,0.6658872470820578,0.6675492791997646,6798
BertAll_Exp_MLM_TLM (ep10),55500,E2EN-Alignment,Unseen,Hieroglyphic-English,0.6357128958013056,0.6364155251141552,1752
BertAll_Exp_MLM_TLM (ep10),55500,E2EN-Alignment,Seen,Demotic-English,0.5949846866977371,0.5954620918649696,1807
BertAll_Exp_MLM_TLM (ep10),55500,E2EN-Alignment,Unseen,Demotic-English,0.5654939422180801,0.5969827586206896,464
BertAll_Exp_MLM_TLM (ep10),55500,E2EN-Alignment,Seen,Sahidic-English,0.5797224605512465,0.5834594049420071,1983
BertAll_Exp_MLM_TLM (ep10),55500,E2EN-Alignment,Unseen,Sahidic-English,0.5217974260944483,0.5435356200527705,379
BertAll_Exp_MLM_TLM (ep10),55500,E2EN-Alignment,Seen,Bohairic-English,0.5681891402250916,0.5670617592014972,1603
BertAll_Exp_MLM_TLM (ep10),55500,E2EN-Alignment,Unseen,Bohairic-English,0.5484003177926026,0.5335195530726257,358
BertAll_Exp_MLM_Translation (ep10),55500,Cross-Branches,Heterograph,Bohairic-Demotic,0.6693538461538462,0.6703296703296703,455
BertAll_Exp_MLM_Translation (ep10),55500,Cross-Branches,Heterograph,Bohairic-Hieroglyphic,0.6471580280735865,0.6256830601092896,366
BertAll_Exp_MLM_Translation (ep10),55500,Cross-Branches,Heterograph,Demotic-Sahidic,0.5842136407604472,0.5712656784492588,877
BertAll_Exp_MLM_Translation (ep10),55500,Cross-Branches,Heterograph,Hieroglyphic-Sahidic,0.5878005412344308,0.5837837837837838,740
BertAll_Exp_MLM_Translation (ep10),55500,Within-Branches,Heterograph,Bohairic-Sahidic,0.7176724137931035,0.7097701149425287,348
BertAll_Exp_MLM_Translation (ep10),55500,Within-Branches,Heterograph,Demotic-Hieroglyphic,0.5876888683317916,0.5760869565217391,368
BertAll_Exp_MLM_Translation (ep10),55500,Within-Branches,Homograph,Bohairic-Sahidic,1.0,1.0,129
BertAll_Exp_MLM_Translation (ep10),55500,Within-Branches,Homograph,Demotic-Hieroglyphic,0.9996466680799944,0.9962546816479401,267
BertAll_Exp_MLM_Translation (ep10),55500,E2EN-Alignment,Seen,Hieroglyphic-English,0.6905153350168937,0.6923411662315057,6894
BertAll_Exp_MLM_Translation (ep10),55500,E2EN-Alignment,Unseen,Hieroglyphic-English,0.6352492130565928,0.634414513468939,1819
BertAll_Exp_MLM_Translation (ep10),55500,E2EN-Alignment,Seen,Demotic-English,0.6722016962849752,0.6674144699943915,1783
BertAll_Exp_MLM_Translation (ep10),55500,E2EN-Alignment,Unseen,Demotic-English,0.6356045624338308,0.6274944567627494,451
BertAll_Exp_MLM_Translation (ep10),55500,E2EN-Alignment,Seen,Sahidic-English,0.5914692037739953,0.5913705583756346,1970
